benchmark_id,taxon_candidate,origin_conflict,record_count,pair_count,complete_11_point_pair_count,pairwise_mean_error_px,pairwise_max_error_px,pairwise_mean_error_image_diagonal,review_threshold,above_threshold
flm_01976f1ffbd183c7,Coilia nasus,False,2,1,1,7.691674217149054,18.0,0.007691674217149054,0.02,False
flm_07d3a56e878c642a,Coilia nasus,False,2,1,1,5.321622319919519,14.0,0.005321622319919519,0.02,False
flm_08f5dc29efbacad9,Coilia nasus,False,2,1,1,6.793128380211541,18.24828759089466,0.006793128380211541,0.02,False
flm_094420ea910542f3,Carassius auratus,False,2,1,1,2.6799756425495773,6.324555320336759,0.0028135719403462023,0.02,False
flm_0d31b9954964f680,Mylopharyngodon piceus,False,2,1,1,2.5429194867948826,7.0710678118654755,0.0025429194867948824,0.02,False
flm_0d7da0569c6b4b05,Coilia nasus,False,2,1,1,3.640484217281967,7.615773105863909,0.003640484217281967,0.02,False
flm_0f9b221d79ad6026,Coilia nasus,False,2,1,1,3.392531325840331,9.219544457292887,0.003392531325840331,0.02,False
flm_1651f51640d3843f,Coilia nasus,False,2,1,1,20.173280971425456,99.04544411531506,0.020173280971425456,0.02,True
flm_17dd905b5eb30122,Coilia nasus,False,2,1,1,4.61350037708649,16.278820596099706,0.00461350037708649,0.02,False
flm_19603ea5e6c7f328,Coilia nasus,False,2,1,1,5.389824048408506,14.035668847618199,0.005389824048408506,0.02,False
flm_200ebcf2f6959d9f,Mylopharyngodon piceus,False,2,1,1,3.640788827046982,8.06225774829855,0.003640788827046982,0.02,False
flm_21046a35b5b34ff8,Coilia nasus,False,2,1,1,4.0595955067172556,9.0,0.004059595506717256,0.02,False
flm_25c7bd9bb75f0b92,Coilia nasus,False,2,1,1,4.237595427189877,7.810249675906654,0.004237595427189877,0.02,False
flm_25d5cf70b1095d72,Coilia nasus,False,2,1,1,3.2685502891020586,7.280109889280518,0.0032685502891020585,0.02,False
flm_29b32cfc49c85d84,Coilia nasus,False,2,1,1,5.38201026970548,18.0,0.005382010269705481,0.02,False
