benchmark_id,canonical_id,point_label,consensus_record_count,x_mad_px,y_mad_px,radial_mad_px
flm_2a65cb9f5abdbb58,1,snout tip,2,0.0,0.0,0.0
flm_2a65cb9f5abdbb58,2,nape dorsal outline,2,1.0,5.5,5.5901699437494745
flm_2a65cb9f5abdbb58,3,dorsal fin origin,2,3.0,1.0,3.1622776601683795
flm_2a65cb9f5abdbb58,4,dorsal fin insertion,2,0.0,2.0,2.0
flm_2a65cb9f5abdbb58,5,upper caudal fin insertion,2,2.0,9.5,9.7082439194738
flm_2a65cb9f5abdbb58,6,caudal peduncle midpoint,2,1.5,3.0,3.3541019662496847
flm_2a65cb9f5abdbb58,7,lower caudal fin insertion,2,3.0,4.5,5.408326913195984
flm_2a65cb9f5abdbb58,8,anal fin origin,2,0.5,1.0,1.118033988749895
flm_2a65cb9f5abdbb58,9,pelvic fin origin,2,0.0,6.0,6.0
flm_2a65cb9f5abdbb58,10,pectoral fin base,2,3.5,4.0,5.315072906367325
flm_2a65cb9f5abdbb58,11,posterior opercular margin,2,2.0,0.5,2.0615528128088303
flm_2c41ad9782492cfa,1,snout tip,2,0.5,0.5,0.7071067811865476
flm_2c41ad9782492cfa,2,nape dorsal outline,2,2.0,1.0,2.23606797749979
flm_2c41ad9782492cfa,3,dorsal fin origin,2,2.0,1.0,2.23606797749979
flm_2c41ad9782492cfa,4,dorsal fin insertion,2,4.0,1.0,4.123105625617661
flm_2c41ad9782492cfa,5,upper caudal fin insertion,2,8.5,0.5,8.514693182963201
flm_2c41ad9782492cfa,6,caudal peduncle midpoint,2,3.0,0.5,3.0413812651491097
flm_2c41ad9782492cfa,7,lower caudal fin insertion,2,6.5,2.0,6.800735254367722
flm_2c41ad9782492cfa,8,anal fin origin,2,7.5,1.5,7.648529270389178
flm_2c41ad9782492cfa,9,pelvic fin origin,2,0.0,0.5,0.5
flm_2c41ad9782492cfa,10,pectoral fin base,2,5.5,1.5,5.70087712549569
flm_2c41ad9782492cfa,11,posterior opercular margin,2,1.0,0.5,1.118033988749895
flm_2fbd331df61c8a55,1,snout tip,2,1.0,1.5,1.8027756377319946
flm_2fbd331df61c8a55,2,nape dorsal outline,2,0.0,0.0,0.0
flm_2fbd331df61c8a55,3,dorsal fin origin,2,1.0,0.5,1.118033988749895
flm_2fbd331df61c8a55,4,dorsal fin insertion,2,3.5,0.5,3.5355339059327378
flm_2fbd331df61c8a55,5,upper caudal fin insertion,2,6.0,1.5,6.18465843842649
flm_2fbd331df61c8a55,6,caudal peduncle midpoint,2,4.0,0.5,4.031128874149275
flm_2fbd331df61c8a55,7,lower caudal fin insertion,2,7.0,1.0,7.0710678118654755
flm_2fbd331df61c8a55,8,anal fin origin,2,1.0,0.5,1.118033988749895
flm_2fbd331df61c8a55,9,pelvic fin origin,2,1.0,1.0,1.4142135623730951
flm_2fbd331df61c8a55,10,pectoral fin base,2,2.5,2.5,3.5355339059327378
flm_2fbd331df61c8a55,11,posterior opercular margin,2,1.0,2.0,2.23606797749979
flm_308961028cf363fa,1,snout tip,2,0.5,2.5,2.5495097567963922
flm_308961028cf363fa,2,nape dorsal outline,2,1.0,0.5,1.118033988749895
